,cid,peak_ra,peak_decl,nepoch,official_name,type_dr,smp_peakmag_r,smp_mjd_peakmag_r,smp_nepoch_snr5_r,n_SNspec,n_GALspec,z_best_with_BOSS_HELIO,z_best_err_with_BOSS_HELIO,z_best_with_BOSS_CMB,z_best_err_with_BOSS_CMB,x0,x0err,x1,x1err,c,cerr,pkmjd,pkmjderr,mu,muerr,fitprob,chi2,ndof,delta,deltaerr,av,averr,pkmjd.1,pkmjderr.1,mu.1,muerr.1,fitprob.1,chi2.1,ndof.1,pz_ia,ztp1A_logprob,ztp1A_lc_quality,pz_ibc,ztp1BC_logprob,ztp1BC_lc_quality,pz_ii,ztp2_logprob,ztp2_lc_quality,Nnnz,Pnnz_Ia,Pnnz_Ibc,Pnnz_II,ztp1a_z_moment1,ztp1a_z_moment2),ztp1a_dm_moment1,ztp1a_dm_moment2),ztp1a_av_moment1,ztp1a_av_moment2),ztp1a_tmax_moment1,ztp1a_tmax_moment2),ztp1bc_dm15,ztp2_dm15,x0.1,x0err.1,x1.1,x1err.1,c.1,cerr.1,pkmjd.2,pkmjderr.2,zphot,zphoterr,fitprob.2,chi2.2,ndof.2,p_ia,tp1A_logprob,tp1A_lc_quality,p_ibc,tp1BC_logprob,tp1BC_lc_quality,p_ii,tp2_logprob,tp2_lc_quality,Nnn,Pnn_Ia,Pnn_Ibc,Pnn_II,tp1a_z_moment1,tp1a_z_moment2),tp1a_dm_moment1,tp1a_dm_moment2),tp1a_av_moment1,tp1a_av_moment2),tp1a_tmax_moment1,tp1a_tmax_moment2),tp1bc_dm15,tp2_dm15,host_objid_dr8,ra,decl,host_sep_DR8,host_DLR_DR8,z,zErr,z.1,zErr.1,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,logMass_Ravi,logMass_lo_Ravi,logMass_hi_Ravi,logSSFR_Ravi,logSSFR_lo_Ravi,logSSFR_hi_Ravi,age_Ravi,age_lo_Ravi,age_hi_Ravi,minredchi2_Ravi,logMass_Mat,logMass_lo_Mat,logMass_hi_Mat,logSFR_Mat,logSFR_lo_Mat,logSFR_hi_Mat,age_Mat,minchi2_Mat,dr_notes,is_snia,is_snii,is_snib,is_uk
7,692,-8.928903,-0.945665,18,\N,Variable,21.244,53663.2,15,0,0,0.197275,2.9999999999999997e-05,0.19581099999999999,2.9999999999999997e-05,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,-1,0.3,2.5525,0.1308,53627.1,0.01,38.6974,0.1322,3.37e-19,228.3,68,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.0000,-11.19860,63,0.0000,-13.01190,63,1.0000,-0.31250,63,4,0.0000,0.0000,1.0000,0.17748,0.0384707678265455,0.60000,0,2.90500,0.220997740317569,53647.570,0.700000006811959,304.00,302.00,1237656906351182046,351.0711364746,-0.9457113147,0.13554,0.12847,0.191409,0.025216,0.201427,0.083078,21.5855,0.208474,19.958,0.0241315,18.884,0.0140368,18.2845,0.0124499,18.0226,0.0339602,11.0186,10.9213,11.0853,-10.5809,-10.8748,-10.3727,5.9270,4.2442,7.3898,1.7808,10.5690,10.5410,10.9990,-99.0000,-99.0000,-0.2810,3.5000,68.1600,\N,0,0,0,0
9,695,-7.036625999999999,-0.963772,3,\N,Variable,22.665,53637.3,0,0,0,0.058267,9e-06,0.056976,9e-06,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.6184,-34.72820,4,0.1842,-34.72820,4,0.1974,-34.72820,4,-1,-1.0000,-1.0000,-1.0000,0.52097,0.153525239822938,1.29300,0.371994631622146,3.00000,0.086023252683418,53717.980,2.69999999293575,303.00,301.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.7378,-34.69900,4,0.1867,-34.72820,4,0.0756,-34.70550,4,-1,-1.0000,-1.0000,-1.0000,0.41546,0.222890103657431,1.29700,0.361994484593332,2.84900,0.713000688809334,53722.391,2.80000002724784,304.00,301.00,1237656906351968456,352.9632568359,-0.9639732838,0.66372,0.08723,0.081854,0.021497,0.0789443,0.0248394,16.9077,0.023447,15.2889,0.00348406,14.4943,0.00280036,14.0401,0.00278258,13.7287,0.005727,11.4965,11.4173,11.5450,-10.5071,-10.7940,-10.3344,6.4757,4.7556,7.8819,0.1725,11.1720,11.0920,11.5520,-99.0000,-99.0000,1.0560,4.0000,839.3000,\N,0,0,0,0
26,716,-9.06669,0.628257,37,\N,zSNII,20.259,53634.2,35,0,0,0.324,2.7000000000000002e-05,0.322376,2.7000000000000002e-05,0.00016686,4.38e-06,5,0.014,-0.1087,0.0214,53638.9,0.2,40.6534,0.176,0,794.1,131,-1,0.3,0.036,0.0431,53634.7,0.27,40.534,0.0538,0,938.7,147,0.0000,-105.87290,63,0.0000,-99.00000,63,1.0000,-88.09100,63,\N,\N,\N,\N,0.31861,0.00447213589851175,0.60000,0,-0.59600,0.0279284801255531,53642.262,0.248997989925062,4.00,4.00,0.00016696,6.18e-06,5,0.0174,0.1577,0.0292,53636.7,0.05,0,0.0007,0,538.7,73,0.0000,-92.15300,63,0.0000,-166.73520,63,1.0000,-39.00000,63,285,0.0000,0.0000,1.0000,0.06922,0,0.60000,0,0.97300,0.0579655067546806,53636.262,0.360555120933857,304.00,305.00,1237663277923763083,350.9332275391,0.6279528737,1.31150,1.48897,0.43905,0.152303,0.307552,0.140016,22.3611,0.384395,21.8834,0.1221,21.118,0.0867025,21.0743,0.142564,20.0173,0.181619,9.8145,9.6589,9.9694,-10.0860,-10.2489,-9.9526,3.2701,1.9646,4.9630,2.3995,9.8220,9.1670,10.4170,0.5730,-0.2270,0.7880,3.5000,9.6400,\N,0,1,0,0
27,717,-6.3720550000000005,0.766101,4,\N,Unknown,21.415,53616.3,3,0,0,0.130392,1.4000000000000001e-05,0.12900999999999999,1.4000000000000001e-05,2.2404e-05,4.01e-06,0.688,1.0471,0.9804,0.1118,53612.8,2.55,38.8666,0.2903,0.682,36.2,41,-0.2006,0.1995,2.079,0.2523,53605,0.05,38.622,0.2944,0.711,43.1,49,1.0000,-0.02050,23,0.0000,-0.29580,55,0.0000,-0.84770,5,\N,\N,\N,\N,0.24259,0.127632283175274,0.76500,0.133003756311441,1.08000,1.11199818341018,53597.609,2.5,3.00,2.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.9999,-0.01770,23,0.0001,-0.23280,55,0.0000,-0.13490,55,-1,-1.0000,-1.0000,-1.0000,0.17450,0.0384707678265455,0.85700,0.146013698983591,2.57900,0.505004956579906,53604.809,3.60000000529819,303.00,301.00,1237663462608535732,353.6281127930,0.7658622861,1.00470,0.47501,0.138803,0.020706,0.150327,0.0498974,19.7993,0.0776598,18.4927,0.0117557,17.6712,0.00827014,17.2723,0.00889077,16.9469,0.0212499,10.8102,10.7428,10.8737,-10.5125,-10.8833,-10.2318,6.1625,4.2509,7.8590,0.0818,10.6300,10.5880,10.8930,0.3180,-0.2850,0.5920,4.5000,20.4200,\N,0,0,0,1
28,718,-5.788798,0.678496,16,\N,Variable,21.717,53668.2,4,0,0,0.161636,1.4000000000000001e-05,0.160217,1.4000000000000001e-05,3.6294e-05,2.45e-06,5,0.0925,0.4645,0.0616,53639.6,0.05,40.6327,0.2127,0,440.3,60,-1,0.3,1.3278,0.1402,53629,1.38,40.2073,0.1554,0,445.5,68,0.0000,-33.90660,63,1.0000,-3.78780,55,0.0000,-9.73750,55,\N,\N,\N,\N,0.20872,0.0158113886763422,0.61000,0.0161245155185452,1.20000,0.155016128100884,53662.422,1.28996125303525,2.00,1.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.0000,-32.37680,63,1.0000,-3.81820,55,0.0000,-8.97060,55,9,0.0000,0.4444,0.5556,0.21726,0.0144913766886701,0.60900,0.0161245155185452,1.37400,0.137003649462433,53662.531,1.23004065438671,304.00,305.00,1237663462608797858,354.2112121582,0.6784616709,0.18438,0.16466,0.239621,0.030464,0.205423,0.065889,20.6123,0.116664,19.3174,0.0176691,18.1982,0.0094116,17.7441,0.00981354,17.4919,0.0233072,10.8467,10.7408,10.9120,-13.1870,-36.7445,-11.3936,7.8429,5.2685,9.8013,1.6954,10.5760,10.5650,10.7390,-99.0000,-99.0000,-99.0000,3.5000,19.4800,\N,0,0,0,0
29,719,-5.73456,0.636889,11,\N,AGN,21.808000000000003,53704.2,3,0,0,0.485763,7.4e-05,0.48394899999999996,7.4e-05,2.3922e-05,1.95e-06,5,0.7637,-0.3128,0.0533,53691.6,0.77,43.3594,0.2957,7.44e-06,72.8,28,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.0000,-21.50580,60,0.0000,-26.78780,60,0.0000,-27.47500,62,\N,\N,\N,\N,0.25343,0.0389871780065326,0.60000,0.0089442717970235,0.15700,0.287001738840411,53687.922,0.919782591559346,2.00,4.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.0000,-16.56540,60,0.0000,-20.82100,62,1.0000,-3.56220,63,678,0.0000,0.0015,0.9985,0.24460,0.0325576417866185,0.60400,0.010954451011737,0.07600,0.244008196200131,53687.730,0.799999991059303,304.00,302.00,1237663462608797948,354.2654418945,0.6368809938,0.05798,0.07077,0.416302,0.164369,0.191232,0.185995,20.5613,0.0815189,20.2423,0.0271106,19.8105,0.0221703,19.4201,0.024675,19.1062,0.0610012,10.7138,10.6280,10.7835,-9.9719,-10.0588,-9.9285,2.6037,2.0622,3.7955,7.1837,10.4970,10.1100,10.9220,1.5480,1.0780,1.8170,2.0000,60.3100,\N,0,0,0,0
31,722,0.705703,0.7512340000000001,20,2005ed,SNIa,19.192999999999998,53623.3,19,1,1,0.086341,3.6e-05,0.085038,3.6e-05,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,-0.1371,0.0945,0.044,0.1052,53609.3,0.92,38.3371,0.1085,1,29.9,62,1.0000,0.00000,23,0.0000,-27.17910,63,0.0000,-146.33350,55,\N,\N,\N,\N,0.08924,0.00707106772255038,0.95700,0.0570087718430701,-0.09400,0.190997377939975,53607.809,0.949736810918467,1.00,1.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.0000,0.00000,19,0.0000,-25.09470,59,0.0000,-40.09210,51,-1,-1.0000,-1.0000,-1.0000,0.09308,0.00707106772255038,0.94900,0.0570087718430701,-0.07000,0.19000000037645,53607.941,1.10995495103373,303.00,301.00,1237657191979286607,0.7059652805,0.7518649101,2.22173,0.66622,0.087861,0.013085,0.0903184,0.0193732,19.129,0.0601332,17.1789,0.0064933,16.2656,0.00464235,15.8975,0.00492134,15.5285,0.00965271,10.9685,10.9025,11.0154,-15.2319,-40.5797,-12.7019,6.6552,5.6602,8.5516,1.3465,10.8300,10.7620,10.9260,-99.0000,-99.0000,-99.0000,4.0000,39.2200,\N,1,0,0,0
33,728,2.086097,-0.974067,2,\N,Variable,20.869,53623.3,1,0,0,0.101256,2.8999999999999997e-05,0.099949,2.8999999999999997e-05,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.9992,-34.39580,3,0.0008,-36.52140,51,0.0000,-38.11460,1,-1,-1.0000,-1.0000,-1.0000,0.13958,0.0254950976026669,1.49000,0.184010873898902,-0.12300,0.55099910458736,53597.559,2.60000004401574,307.00,308.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0.1107,-31.05260,19,0.8893,-29.99570,19,0.0000,-34.27410,51,-1,-1.0000,-1.0000,-1.0000,0.58067,0.0219089020234739,1.62500,0.115021735733938,-0.92700,0.0819756058022985,53610.398,2.44008196505472,304.00,301.00,1237657189832392792,2.0862355232,-0.9741636515,0.39800,0.51638,0.103713,0.012763,0.107061,0.0202353,20.0421,0.0608547,18.245,0.00810563,17.3121,0.00572472,16.932,0.00560718,16.6169,0.0114943,10.7013,10.6448,10.7554,-15.9423,-44.7915,-12.6228,8.3694,5.9694,10.3694,0.1755,10.4530,10.4460,10.5180,-99.0000,-99.0000,-99.0000,3.5000,23.3300,\N,0,0,0,0
34,730,5.4208739999999995,0.644958,22,\N,AGN,19.434,53699.3,17,0,0,0.308315,0.000138,0.30678099999999997,0.000138,0.00027163,8.5e-06,5,0.1322,-0.1021,0.0321,53685.8,0.3,40.1285,0.1926,0,345.3,41,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.0000,-203.15550,60,0.0000,-99.00000,60,0.0000,-298.41910,60,-1,-1.0000,-1.0000,-1.0000,0.21161,0.00447213589851175,0.60000,0,-0.41500,0.0440454309477302,53693.648,0.46043457461034,307.00,301.00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.0000,-74.48680,60,0.0000,-170.15860,30,0.0000,-122.86650,63,-1,-1.0000,-1.0000,-1.0000,0.05013,0,0.60000,0,-0.23000,0.0779743560130653,53690.031,0.219089023954265,304.00,305.00,1237657191981318325,5.4209136963,0.6449165344,0.23468,0.26539,0.341418,0.054344,0.275341,0.0891776,18.8493,0.0246166,18.5556,0.00913754,17.9766,0.00758995,17.6979,0.00825229,17.3208,0.0165558,11.0033,10.9375,11.0671,-10.0967,-10.1620,-10.0651,3.5482,3.0239,4.7065,12.6462,10.8640,10.6470,11.1730,1.7610,1.3640,1.9660,3.0000,288.7000,\N,0,0,0,0
35,734,6.559481,-0.9891059999999999,19,\N,AGN,20.805999999999997,53698.2,21,0,0,0.372361,3.7e-05,0.370768,3.7e-05,9.7929e-05,2.79e-06,5,0.0317,-0.2672,0.0287,53656.2,0.11,41.6957,0.1855,0,1216.9,61,-1,0.3,-0.4509,0.0689,53651.2,0.31,41.658,0.0984,0,1163.1,65,1.0000,-48.72580,60,0.0000,-254.40340,60,0.0000,-93.64980,60,\N,\N,\N,\N,0.21826,0.0118321597242118,0.60000,0,-0.08500,0.0940212755545042,53682.191,0.64031242095068,4.00,4.00,0.00010856,3.27e-06,-0.6222,0.057,-0.7374,0.0146,53655.3,0.15,0.5,0.0008,0,1607.8,64,0.0000,-36.85080,62,0.0000,-109.74960,62,1.0000,-4.20000,63,648,0.0000,0.0015,0.9985,0.22318,0.00999999987368938,0.60000,0,0.04100,0.0809938276988979,53682.281,0.600000011920929,304.00,305.00,1237657189834358887,6.5595173836,-0.9891251326,0.47724,0.50484,0.327965,0.047883,0.238019,0.146295,20.5177,0.0827069,19.6669,0.0197242,18.8548,0.0138711,18.403,0.0131464,17.9534,0.0295575,11.2524,11.1982,11.3083,-10.3766,-10.6034,-10.3766,6.1160,5.8290,6.6559,8.8437,11.3650,10.9450,11.4560,1.6740,1.3270,1.7180,8.0000,68.8300,\N,0,0,0,0
